ISP, PLAN,PRICE (INC. 8% GST),TOTAL POSSIBLE GB,PRICE / GB
ooredoo,Supernet 5M,216.0,666.0,3.08
ooredoo,Supernet 10M,432.0,1652.5,3.83
ooredoo,Supernet 20M,540.0,1717.5,3.18
ooredoo,Supernet 30M,756.0,1795.0,2.37
ooredoo,Supernet 40M,1132.92,1970.0,1.74
ooredoo,Supernet 1G,7558.92,6097.5,0.81
ooredoo,Supernet Unlimited 50M,1564.92,16200.0,10.35
ooredoo,Supernet Unlimited 100M,2968.92,32400.0,10.91
ooredoo,AirFibre 5G 1499,1618.92,2362.5,1.46
ooredoo,AirFibre 5G 1999,2158.92,2633.76,1.22
ooredoo,AirFibre 5G 2999,3238.92,3140.64,0.97
ooredoo,AirFibre 5G 5999,6478.92,5580.0,0.86
ooredoo,AirFibre 5G 749,808.92,1917.0,2.37
ooredoo,AirFibre 5G 999,1078.92,2115.0,1.96
ooredoo,AirFibre 5G 999,1078.92,2115.0,1.96
ooredoo,Faseyha 1099,1186.92,248.78,0.21
ooredoo,Faseyha 1549,1672.92,357.38,0.21
ooredoo,Faseyha 3549,3832.92,781.87,0.2
ooredoo,Faseyha 399,430.92,80.96,0.19
ooredoo,Faseyha 699,754.92,125.38,0.17
ooredoo,Faseyha 799,862.92,146.12,0.17
ooredoo,Faseyha MIFI 499,538.92,81.13,0.15
ooredoo,Faseyha MIFI 499,1186.92,239.77,0.2
ooredoo,Faseyha MIFI 499,970.92,150.53,0.16
ooredoo,Faseyha MIFI 499,754.92,120.79,0.16
dhiraagu,FIBRE 5M STARTER,270.0,666.0,2.47
dhiraagu,FIBRE 10M BASIC,432.0,1650.0,3.82
dhiraagu,FIBRE 25M STARTER,745.2,1780.0,2.39
dhiraagu,FIBRE 30M BASIC,853.2,1828.33,2.14
dhiraagu,FIBRE 40M,1177.2,1987.5,1.69
dhiraagu,FIBRE 40M,1177.2,1987.5,1.69
dhiraagu,FIBRE 15M STARTER,529.2,1700.0,3.21
dhiraagu,FIBRE 100M,2149.2,2475.0,1.15
dhiraagu,FIBRE 200M,3229.2,3082.5,0.95
dhiraagu,FIBRE 1G,7549.2,6097.5,0.81
dhiraagu,FIBRE 50M UNLIMITED,1609.2,16200.0,10.07
dhiraagu,FIBRE 100M UNLIMITED,3024.0,32400.0,10.71
Starlink,Standard,1080.0,64800.0,60.0
