plan_name,price,speed,speed_after_fua,allowance,kbps,kbps_after_fua,time_for_gig,time_for_gig_after_fua,time_to_deplete_fua,time_left_after_fua,possible_gb_after_fua,possible_gb_total,price_per_gig
Supernet 5M,216.0,5.0,2.0,30.0,625.0,250.0,1600.0,4000.0,48000.0,2544000.0,636.0,666.0,3.0833333333333335
Supernet 10M,432.0,10.0,5.0,65.0,1250.0,625.0,800.0,1600.0,52000.0,2540000.0,1587.5,1652.5,3.8252314814814814
Supernet 20M,540.0,20.0,5.0,130.0,2500.0,625.0,400.0,1600.0,52000.0,2540000.0,1587.5,1717.5,3.1805555555555554
Supernet 30M,756.0,30.0,5.0,210.0,3750.0,625.0,266.6666666666667,1600.0,56000.00000000001,2536000.0,1585.0,1795.0,2.374338624338624
Supernet 40M,1132.92,40.0,5.0,400.0,5000.0,625.0,200.0,1600.0,80000.0,2512000.0,1570.0,1970.0,1.7388694700420153
Supernet 1G,7558.92,1000.0,5.0,4500.0,125000.0,625.0,8.0,1600.0,36000.0,2556000.0,1597.5,6097.5,0.8066628565985617
Supernet Unlimited 50M,1564.92,50.0,50.0,0.0,6250.0,6250.0,160.0,160.0,0.0,2592000.0,16200.0,16200.0,10.351966873706004
Supernet Unlimited 100M,1564.92,100.0,100.0,0.0,12500.0,12500.0,80.0,80.0,0.0,2592000.0,32400.0,32400.0,20.70393374741201
AirFibre 5G 1499,1618.92,500.0,5.0,750.0,62500.0,625.0,16.0,1600.0,12000.0,2580000.0,1612.5,2362.5,1.4593062041360907
AirFibre 5G 1999,2158.92,500.0,5.0,1024.0,62500.0,625.0,16.0,1600.0,16384.0,2575616.0,1609.76,2633.76,1.2199433049858264
AirFibre 5G 2999,3238.92,500.0,5.0,1536.0,62500.0,625.0,16.0,1600.0,24576.0,2567424.0,1604.64,3140.6400000000003,0.9696565521840614
AirFibre 5G 5999,6478.92,500.0,5.0,4000.0,62500.0,625.0,16.0,1600.0,64000.0,2528000.0,1580.0,5580.0,0.8612546535533699
AirFibre 5G 749,808.92,500.0,5.0,300.0,62500.0,625.0,16.0,1600.0,4800.0,2587200.0,1617.0,1917.0,2.369826435246996
AirFibre 5G 999,1078.92,500.0,5.0,500.0,62500.0,625.0,16.0,1600.0,8000.0,2584000.0,1615.0,2115.0,1.9602936269602935
AirFibre 5G 999,1078.92,500.0,5.0,500.0,62500.0,625.0,16.0,1600.0,8000.0,2584000.0,1615.0,2115.0,1.9602936269602935
Faseyha 1099,1186.92,10.0,0.128,210.0,1250.0,16.0,800.0,62500.0,168000.0,2424000.0,38.784,248.784,0.20960469113335353
Faseyha 1549,1672.92,10.0,0.128,320.0,1250.0,16.0,800.0,62500.0,256000.0,2336000.0,37.376,357.376,0.21362408244267506
Faseyha 3549,3832.92,10.0,0.128,750.0,1250.0,16.0,800.0,62500.0,600000.0,1992000.0,31.872,781.872,0.20398860398860397
Faseyha 399,430.92,10.0,0.128,40.0,1250.0,16.0,800.0,62500.0,32000.0,2560000.0,40.96,80.96000000000001,0.18787710015780193
Faseyha 699,754.92,10.0,0.128,85.0,1250.0,16.0,800.0,62500.0,68000.0,2524000.0,40.384,125.384,0.16608912202617496
Faseyha 799,862.92,10.0,0.128,106.0,1250.0,16.0,800.0,62500.0,84800.0,2507200.0,40.1152,146.11520000000002,0.16932647290594727
Faseyha MIFI 499,538.92,15.0,0.128,40.0,1875.0,16.0,533.3333333333334,62500.0,21333.333333333336,2570666.6666666665,41.13066666666666,81.13066666666666,0.15054306143150498
