ISP, PLAN,PRICE (INC. 8% GST),NORMAL SPEED,SPEED AFTER FUA,FUA (GB),TTD 1GB,TTD 1GB POST FUA,TIME TO DEPLETE FUA,TOTAL POSSIBLE GB,PRICE / GB
ooredoo,Supernet 5M,216.0,5.0,2.0,30.0,1600.0,4000.0,48000.0,666.0,3.08
ooredoo,Supernet 10M,432.0,10.0,5.0,65.0,800.0,1600.0,52000.0,1652.5,3.83
ooredoo,Supernet 20M,540.0,20.0,5.0,130.0,400.0,1600.0,52000.0,1717.5,3.18
ooredoo,Supernet 30M,756.0,30.0,5.0,210.0,266.67,1600.0,56000.0,1795.0,2.37
ooredoo,Supernet 40M,1132.92,40.0,5.0,400.0,200.0,1600.0,80000.0,1970.0,1.74
ooredoo,Supernet 1G,7558.92,1000.0,5.0,4500.0,8.0,1600.0,36000.0,6097.5,0.81
ooredoo,Supernet Unlimited 50M,1564.92,50.0,50.0,0.0,160.0,160.0,0.0,16200.0,10.35
ooredoo,Supernet Unlimited 100M,2968.92,100.0,100.0,0.0,80.0,80.0,0.0,32400.0,10.91
ooredoo,AirFibre 5G 1499,1618.92,500.0,5.0,750.0,16.0,1600.0,12000.0,2362.5,1.46
ooredoo,AirFibre 5G 1999,2158.92,500.0,5.0,1024.0,16.0,1600.0,16384.0,2633.76,1.22
ooredoo,AirFibre 5G 2999,3238.92,500.0,5.0,1536.0,16.0,1600.0,24576.0,3140.64,0.97
ooredoo,AirFibre 5G 5999,6478.92,500.0,5.0,4000.0,16.0,1600.0,64000.0,5580.0,0.86
ooredoo,AirFibre 5G 749,808.92,500.0,5.0,300.0,16.0,1600.0,4800.0,1917.0,2.37
ooredoo,AirFibre 5G 999,1078.92,500.0,5.0,500.0,16.0,1600.0,8000.0,2115.0,1.96
ooredoo,AirFibre 5G 999,1078.92,500.0,5.0,500.0,16.0,1600.0,8000.0,2115.0,1.96
ooredoo,Faseyha 1099,1186.92,10.0,0.128,210.0,800.0,62500.0,168000.0,248.78,0.21
ooredoo,Faseyha 1549,1672.92,10.0,0.128,320.0,800.0,62500.0,256000.0,357.38,0.21
ooredoo,Faseyha 3549,3832.92,10.0,0.128,750.0,800.0,62500.0,600000.0,781.87,0.2
ooredoo,Faseyha 399,430.92,10.0,0.128,40.0,800.0,62500.0,32000.0,80.96,0.19
ooredoo,Faseyha 699,754.92,10.0,0.128,85.0,800.0,62500.0,68000.0,125.38,0.17
ooredoo,Faseyha 799,862.92,10.0,0.128,106.0,800.0,62500.0,84800.0,146.12,0.17
ooredoo,Faseyha MIFI 499,538.92,15.0,0.128,40.0,533.33,62500.0,21333.33,81.13,0.15
ooredoo,Faseyha MIFI 499,1186.92,15.0,0.128,200.0,533.33,62500.0,106666.67,239.77,0.2
ooredoo,Faseyha MIFI 499,970.92,15.0,0.128,110.0,533.33,62500.0,58666.67,150.53,0.16
ooredoo,Faseyha MIFI 499,754.92,15.0,0.128,80.0,533.33,62500.0,42666.67,120.79,0.16
dhiraagu,FIBRE 5M STARTER,270.0,5.0,2.0,30.0,1600.0,4000.0,48000.0,666.0,2.47
dhiraagu,FIBRE 10M BASIC,432.0,10.0,5.0,60.0,800.0,1600.0,48000.0,1650.0,3.82
dhiraagu,FIBRE 25M STARTER,745.2,25.0,5.0,200.0,320.0,1600.0,64000.0,1780.0,2.39
dhiraagu,FIBRE 30M BASIC,853.2,30.0,5.0,250.0,266.67,1600.0,66666.67,1828.33,2.14
dhiraagu,FIBRE 40M,1177.2,40.0,5.0,420.0,200.0,1600.0,84000.0,1987.5,1.69
dhiraagu,FIBRE 40M,1177.2,40.0,5.0,420.0,200.0,1600.0,84000.0,1987.5,1.69
dhiraagu,FIBRE 15M STARTER,529.2,15.0,5.0,120.0,533.33,1600.0,64000.0,1700.0,3.21
dhiraagu,FIBRE 100M,2149.2,100.0,5.0,900.0,80.0,1600.0,72000.0,2475.0,1.15
dhiraagu,FIBRE 200M,3229.2,200.0,5.0,1500.0,40.0,1600.0,60000.0,3082.5,0.95
dhiraagu,FIBRE 1G,7549.2,1000.0,5.0,4500.0,8.0,1600.0,36000.0,6097.5,0.81
dhiraagu,FIBRE 50M UNLIMITED,1609.2,50.0,50.0,0.0,160.0,160.0,0.0,16200.0,10.07
dhiraagu,FIBRE 100M UNLIMITED,3024.0,100.0,100.0,0.0,80.0,80.0,0.0,32400.0,10.71
Starlink,Standard,1080.0,200.0,200.0,0.0,40.0,40.0,0.0,64800.0,60.0
